time,atom count,new concepts
8,1372,293
4,164,27
6,182,30
21,1038,187
29,444,66
29,92,11
39,1372,165
34,164,16
38,182,19
47,1038,126
48,444,49
49,164,16
51,182,19
63,1038,126
63,164,16
67,182,19
80,1038,126
79,115,16
80,164,16
84,182,19
98,1038,126
99,164,16
101,182,19
218,967,169
1263,331,49
935,218,28
955,509,87
842,160,21
964,136,16
1902,278,39
1353,228,30
1518,260,40
4735,854,154
3361,129,16
3394,153,21
3742,116,14
4256,130,16
4087,134,19
4592,261,33
4494,227,29
4743,265,38
6503,168,22
5741,115,12
5846,89,9
5754,122,13
5805,196,25
5865,360,50
5975,197,27
6023,194,22
6271,193,21
6173,120,11
6433,68,5
7344,139,19
6824,143,19
6952,76,7
7020,94,9
7043,132,15
